Rendang, Makanan, Sumatra Barat, http://dbpedia.org/resource/Rendang
Tari Saman, Tarian, Aceh, http://dbpedia.org/resource/Saman_(dance)
Nasi Gandul, Makanan, Jawa, https://www.wikidata.org/wiki/Q12500151
Tari Gambyong, Tarian, Jawa Tengah, https://id.wikipedia.org/wiki/
Pindang, Makanan Minuman Tradisional, Lampung, https://budayakb.cs.ui.ac.id/resource/pindang
Kemplang, Makanan Minuman Tradisional, Lampung, https://budayakb.cs.ui.ac.id/resource/Kemplang
Lempok Durian, Makanan Minuman Tradisional, Lampung, https://budayakb.cs.ui.ac.id/resource/Lempok_Durian
